Site_No,Dimension,Sqr-ft
10 (A),"(52'6"" + 52'3"") / 2  x 40'0""",2095
103,"30' 0"" x 50' 0""",1500
104,"30' 0"" x 50' 0""",1500
105,"30' 0"" x 50' 0""",1500
106,"30' 0"" x 50' 0""",1500
107,"30' 0"" x 50' 0""",1500
108,"30' 0"" x 50' 0""",1500
109,"30' 0"" x 50' 0""",1500
110,"30' 0"" x 50' 0""",1500
111,"30' 0"" x 50' 0""",1500
112,"30' 0"" x 50' 0""",1500
113,"30' 0"" x 50' 0""",1500
114,"30' 0"" x 50' 0""",1500
115,"30' 0"" x 50' 0""",1500
117,"30' 0"" x 50' 0""",1500
118,"30' 0"" x 50' 0""",1500
119,"30' 0"" x 50' 0""",1500
122,"30' 0"" x 50' 0""",1500
128,"30' 0"" x 50' 0""",1500
130,"30' 0"" x 50' 0""",1500
131,"30' 0"" x 50' 0""",1500
132,"30' 0"" x 50' 0""",1500
133,"30' 0"" x 50' 0""",1500
134,"30' 0"" x 50' 0""",1500
138,"30' 0"" x 50' 0""",1500
139,"30' 0"" x 50' 0""",1500
14,"80' 0"" x 80' 0""",6400
140,"30' 0"" x 50' 0""",1500
141,"30' 0"" x 50' 0""",1500
142,"30' 0"" x 50' 0""",1500
143,"30' 0"" x 50' 0""",1500
144,"30' 0"" x 50' 0""",1500
145,"30' 0"" x 50' 0""",1500
146,"30' 0"" x 50' 0""",1500
147,"30' 0"" x 50' 0""",1500
148,"30' 0"" x 50' 0""",1500
149,"30' 0"" x 50' 0""",1500
150,"30' 0"" x 50' 0""",1500
151,"30' 0"" x 50' 0""",1500
152,"30' 0"" x 50' 0""",1500
153,"30' 0"" x 50' 0""",1500
154,"30' 0"" x 50' 0""",1500
155,"30' 0"" x 50' 0""",1500
156,"30' 0"" x 50' 0""",1500
157,"30' 0"" x 50' 0""",1500
158,"30' 0"" x 50' 0""",1500
159,"(54'9""+50') / 2 X (11' + 33'9"")/2",1171
16,"52'9"" x 40'0""",2110
16 (A),"52'9"" x 40'0""",2110
16 (B),"(52'6""+53'0"") / 2 x 40'0""",2110
16 (C),"50'6"" x 40'0""",2020
160,"(55'6""+50') / 2 X (18'3"" + 41'0"")/2",1562
161,"30' 0"" x 50' 0""",1500
162,"30' 0"" x 50' 0""",1500
163,"30' 0"" x 50' 0""",1500
164,"30' 0"" x 50' 0""",1500
166,"30' 0"" x 50' 0""",1500
168,"30' 0"" x 50' 0""",1500
169,"30' 0"" x 50' 0""",1500
171,"30' 0"" x 50' 0""",1500
173,"30' 0"" x 50' 0""",1500
174,"30' 0"" x 50' 0""",1500
175,"30' 0"" x 50' 0""",1500
176,"30' 0"" x 50' 0""",1500
177,"30' 0"" x 50' 0""",1500
179,"30' 0"" x 50' 0""",1500
17 B,"(66'0""+50'6"") / 2 x (87'3""+46'0"") / 2",3881
183,"30' 0"" x 50' 0""",1500
192,"30' 0"" x 50' 0""",1500
194,"30' 0"" x 50' 0""",1500
197,"30' 0"" x 50' 0""",1500
2 (A),"40'0"" x 60'0""",2400
20,"44' 6'' x 80' 0""",3560
200,"30' 0"" x 50' 0""",1500
201,"30' 0"" x 50' 0""",1500
203,"30' 0"" x 50' 0""",1500
204,"30' 0"" x 50' 0""",1500
205,"30' 0"" x 50' 0""",1500
206,"30' 0"" x 50' 0""",1500
207,"30' 0"" x 50' 0""",1500
209,"30' 0"" x 50' 0""",1500
210,"30' 0"" x 50' 0""",1500
211,"30' 0"" x 50' 0""",1500
212,"30' 0"" x 50' 0""",1500
213,"(54'0""+50') / 2 x (15'6""+37'3"") / 2",1371
216,"30' 0"" x 50' 0""",1500
219,"30' 0"" x 50' 0""",1500
220,"30' 0"" x 50' 0""",1500
222,"30' 0"" x 50' 0""",1500
223,"30' 0"" x 50' 0""",1500
225,"30' 0"" x 50' 0""",1500
230,"30' 0"" x 50' 0""",1500
231,"30' 0"" x 50' 0""",1500
232,"30' 0"" x 50' 0""",1500
233,"30' 0"" x 50' 0""",1500
236,"30' 0"" x 50' 0""",1500
237,"30' 0"" x 50' 0""",1500
238,"30' 0"" x 50' 0""",1500
238 (A),"30' 0"" x 50' 0""",1500
240 (A),"30' 0"" x 50' 0""",1500
243,"30' 0"" x 50' 0""",1500
245,"30' 0"" x 50' 0""",1500
246,"30' 0"" x 50' 0""",1500
247,"30' 0"" x 50' 0""",1500
248,"30' 0"" x 50' 0""",1500
249,"30' 0"" x 50' 0""",1500
25,"80'0"" x 50'0""",4000
250,"30' 0"" x 50' 0""",1500
251,"30' 0"" x 50' 0""",1500
253,"30' 0"" x 50' 0""",1500
254,"30' 0"" x 50' 0""",1500
255,"30' 0"" x 50' 0""",1500
256,"30' 0"" x 50' 0""",1500
257,"30' 0"" x 50' 0""",1500
258,"30' 0"" x 50' 0""",1500
259,"30' 0"" x 50' 0""",1500
26,"50' 0"" x 80' 0""",4000
261,"50'0"" x (34'6""+32') / 2",1662
262,"30' 0"" x 50' 0""",1500
264,"30' 0"" x 50' 0""",1500
265,"30' 0"" x 50' 0""",1500
266,"30' 0"" x 50' 0""",1500
268,"30' 0"" x 50' 0""",1500
269,"30' 0"" x 50' 0""",1500
271,"30' 0"" x 50' 0""",1500
274,"30' 0"" x 50' 0""",1500
279 (A),"30' 0"" x 50' 0""",1500
28,"50' 0"" x 80' 0""",4000
282,"30' 0"" x 50' 0""",1500
283,"30' 0"" x 50' 0""",1500
284,"30' 0"" x 50' 0""",1500
285,"30' 0"" x 50' 0""",1500
286,"30' 0"" x 50' 0""",1500
287,"30' 0"" x 50' 0""",1500
288,"30' 0"" x 50' 0""",1500
289,"30' 0"" x 50' 0""",1500
29,"50' 0"" x 80' 0""",4000
290,"30' 0"" x 50' 0""",1500
291,"30' 0"" x 50' 0""",1500
292,"30' 0"" x 50' 0""",1500
294,"30' 0"" x 50' 0""",1500
295,"30' 0"" x 50' 0""",1500
297,"30' 0"" x 50' 0""",1500
298,"30' 0"" x 50' 0""",1500
298 (A),"30' 0"" x 50' 0""",1500
298 (b),"30' 0"" x 50' 0""",1500
299,"(54' 3"" + 50' 0"")/2 x (52' 6"" + 31' 6"")/2",2189
300,"( 55'0"" + 50' 0"")/2 x ( 43' 9"" + 22' 6"")/2",1739
300 (b),"30' 0"" x 50' 0""",1500
301,"30' 0"" x 50' 0""",1500
305,"30' 0"" x 50' 0""",1500
306,"30' 0"" x 50' 0""",1500
310,"30' 0"" x 50' 0""",1500
311,"30' 0"" x 50' 0""",1500
312,"30' 0"" x 50' 0""",1500
313,"30' 0"" x 50' 0""",1500
313 (b),"30' 0"" x 50' 0""",1500
